Target,Pair,Lag,Model,RMSE,MAE,R2,Spearman,Train_Time,Optimized,Run_Mode
target_113,JPX_Gold_Standard_Futures_Close - FX_AUDCAD,2,LightGBM,0.014746520760332978,0.01137446673841435,-0.07523515444502804,0.0738231135780489,2.063664436340332,True,OPTIMIZED
target_114,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF,2,Ridge,0.0243111384763598,0.017462871397917967,-0.22706809999021216,0.023520787065415265,0.0075757503509521484,False,OPTIMIZED
target_114,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF,2,Lasso,0.022035679204094633,0.015935029810763893,-0.008117037071882383,0.0,0.006323575973510742,False,OPTIMIZED
target_114,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF,2,RandomForest,0.02505221424324282,0.018576126882404127,-0.3030176723447642,-0.07798391493582299,0.353696346282959,False,OPTIMIZED
target_114,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF,2,ElasticNet,0.022261190835033667,0.016154291070039437,-0.028856621898410317,0.07550453780908307,0.0033702850341796875,True,OPTIMIZED
target_114,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF,2,XGBoost,0.022031627015626127,0.015930313299419675,-0.0077463015399668045,0.0,0.1957550048828125,True,OPTIMIZED
target_114,JPX_Platinum_Standard_Futures_Close - FX_NZDCHF,2,LightGBM,0.02661132660052396,0.019734640843617257,-0.47024977619742137,-0.061977397127359085,5.215567350387573,True,OPTIMIZED
target_115,FX_ZARGBP - JPX_Gold_Standard_Futures_Close,2,Ridge,0.015916486886320597,0.012295579753436186,-0.06110498681120613,0.13479142088840565,0.006859540939331055,False,OPTIMIZED
target_115,FX_ZARGBP - JPX_Gold_Standard_Futures_Close,2,Lasso,0.015491187858213086,0.012020028469177428,-0.0051557587295711915,0.0,0.004209041595458984,False,OPTIMIZED
target_115,FX_ZARGBP - JPX_Gold_Standard_Futures_Close,2,RandomForest,0.016559261833034137,0.012797402956472397,-0.14853932708148831,0.025312876368015918,0.38193202018737793,False,OPTIMIZED
