Target,Model,Best_CV_Spearman,N_Trials
target_161,XGBoost,0.0,10
target_161,LightGBM,0.03542765676346954,10
target_162,ElasticNet,0.11373493108228716,10
target_162,XGBoost,0.0,10
target_162,LightGBM,0.0069867651585103175,10
target_163,ElasticNet,0.074104756374948,10
target_163,XGBoost,0.0,10
target_163,LightGBM,0.037297203963193123,10
target_164,ElasticNet,0.04492903813786667,10
target_164,XGBoost,0.0,10
target_164,LightGBM,0.04781749608468517,10
target_165,ElasticNet,0.03652392097005936,10
target_165,XGBoost,0.027615178218557097,10
target_165,LightGBM,0.06606432693539864,10
target_166,ElasticNet,0.04963422831024709,10
target_166,XGBoost,0.0,10
target_166,LightGBM,0.03612408340479264,10
target_167,ElasticNet,0.0653543508260947,10
target_167,XGBoost,0.0,10
target_167,LightGBM,0.08936584779793035,10
target_168,ElasticNet,0.10459613034021407,10
target_168,XGBoost,0.0,10
target_168,LightGBM,0.03299836289578751,10
target_169,ElasticNet,0.0,10
target_169,XGBoost,0.0,10
target_169,LightGBM,0.041148637120828266,10
target_170,ElasticNet,0.07335318945362233,10
target_170,XGBoost,0.0,10
target_170,LightGBM,0.028950669200979773,10
target_171,ElasticNet,0.10421380937871093,10
target_171,XGBoost,0.0,10
target_171,LightGBM,0.03138573066075625,10
target_172,ElasticNet,0.07213352270696093,10
target_172,XGBoost,0.0778247906455989,10
target_172,LightGBM,0.0953470415720511,10
target_173,ElasticNet,0.10927891252018163,10
target_173,XGBoost,0.03043248530517631,10
target_173,LightGBM,0.09006296266737486,10
target_174,ElasticNet,0.1345241232632522,10
target_174,XGBoost,0.03957158605644073,10
target_174,LightGBM,0.04816070440194314,10
target_175,ElasticNet,0.10072794193996448,10
target_175,XGBoost,0.0,10
target_175,LightGBM,0.0,10
target_176,ElasticNet,0.12081638452866061,10
target_176,XGBoost,0.0,10
target_176,LightGBM,0.10719653725899785,10
target_177,ElasticNet,0.07454995794720638,10
target_177,XGBoost,0.0,10
target_177,LightGBM,0.04185230939220871,10
target_178,ElasticNet,0.05661266247767686,10
target_178,XGBoost,0.0,10
target_178,LightGBM,0.0768907028907503,10
target_179,ElasticNet,0.06621409664184535,10
target_179,XGBoost,0.0,10
target_179,LightGBM,-0.02342378813696032,10
target_180,ElasticNet,0.0574748538872183,10
target_180,XGBoost,0.0,10
target_180,LightGBM,0.05172230718617646,10
target_181,ElasticNet,0.11634393502658635,10
target_181,XGBoost,0.038126895741736645,10
target_181,LightGBM,0.1024708018575175,10
target_182,ElasticNet,0.0872889965714756,10
target_182,XGBoost,0.014162612083496874,10
target_182,LightGBM,0.062111847570840296,10
target_183,ElasticNet,0.07182302208349704,10
target_183,XGBoost,0.0,10
target_183,LightGBM,0.020026198971007183,10
target_184,ElasticNet,-0.041165166274545396,10
target_184,XGBoost,0.0,10
target_184,LightGBM,0.05009133842490915,10
target_185,ElasticNet,0.01934230072648094,10
target_185,XGBoost,0.0,10
target_185,LightGBM,0.04942897971016113,10
target_186,ElasticNet,0.06768787230309702,10
target_186,XGBoost,0.09491565608817265,10
target_186,LightGBM,0.05378404016704837,10
target_187,ElasticNet,0.1487242469298936,10
target_187,XGBoost,0.0,10
target_187,LightGBM,0.029418709739806675,10
target_188,ElasticNet,0.16943392052922215,10
target_189,ElasticNet,0.01664527589804791,10
target_189,XGBoost,0.0,10
target_189,LightGBM,0.004711204596777694,10
target_190,ElasticNet,0.08102412353824294,10
target_190,XGBoost,0.0,10
target_190,LightGBM,0.05635915351448425,10
target_191,ElasticNet,0.008502163902184693,10
target_191,XGBoost,0.0,10
target_191,LightGBM,0.09952586074215514,10
target_192,ElasticNet,0.04211263290990259,10
target_192,XGBoost,0.01038644206319708,10
target_192,LightGBM,0.0386959478813538,10
target_193,ElasticNet,0.09769866244000891,10
target_193,XGBoost,0.04609895735060032,10
target_193,LightGBM,0.08430671307910488,10
target_194,ElasticNet,0.12585840117839872,10
target_194,XGBoost,0.021796610344358532,10
target_194,LightGBM,0.05572681358102233,10
target_195,ElasticNet,0.03695020662554705,10
target_195,XGBoost,0.0,10
target_195,LightGBM,-0.010151624636518239,10
target_196,ElasticNet,0.06293927165075862,10
target_196,XGBoost,0.0,10
target_196,LightGBM,0.05137229048695582,10
target_197,ElasticNet,0.1297280938632471,10
target_197,XGBoost,0.0,10
target_197,LightGBM,0.017695890936861223,10
target_198,ElasticNet,0.10392527034244949,10
target_198,XGBoost,0.0,10
target_198,LightGBM,0.0978111187873032,10
target_199,ElasticNet,0.09451746948715177,10
target_199,XGBoost,0.0,10
target_199,LightGBM,0.07045327924715333,10
target_200,ElasticNet,0.01796996033062669,10
target_200,XGBoost,0.0,10
target_200,LightGBM,0.0010817127361236513,10
target_201,ElasticNet,0.0510122334383448,10
target_201,XGBoost,0.0,10
target_201,LightGBM,0.05870757449011841,10
target_202,ElasticNet,0.056029664601786155,10
target_202,XGBoost,0.0,10
target_202,LightGBM,0.07376566778527903,10
target_203,ElasticNet,0.06672060485164676,10
target_203,XGBoost,0.0,10
target_203,LightGBM,0.03206967025667622,10
target_204,ElasticNet,0.07634689608499663,10
target_204,XGBoost,0.0,10
target_204,LightGBM,0.03980317756492437,10
target_205,ElasticNet,0.13049327397796587,10
target_205,XGBoost,0.0,10
target_205,LightGBM,0.0646310789897654,10
target_206,ElasticNet,0.0772919491259119,10
target_206,XGBoost,0.0,10
target_206,LightGBM,0.10697041843041234,10
target_207,ElasticNet,0.009292465062595913,10
target_207,XGBoost,0.0,10
target_207,LightGBM,0.08776850392303881,10
target_208,ElasticNet,0.09924471041549453,10
target_208,XGBoost,0.016967346130846838,10
target_208,LightGBM,0.040434419844271506,10
target_209,ElasticNet,0.03220366634662744,10
target_209,XGBoost,0.0,10
target_209,LightGBM,0.07063349011297325,10
target_210,ElasticNet,0.0972502464128601,10
target_210,XGBoost,0.0,10
target_210,LightGBM,0.006668434706090356,10
target_211,ElasticNet,0.12939443119845742,10
target_211,XGBoost,0.06297140973159573,10
target_211,LightGBM,0.026596141431132442,10
target_212,ElasticNet,0.0,10
target_212,XGBoost,0.1024196291504166,10
target_212,LightGBM,0.10695496415954037,10
target_213,ElasticNet,0.07728086036329153,10
target_213,XGBoost,0.0,10
target_213,LightGBM,0.07183798916285995,10
target_214,ElasticNet,0.0,10
target_214,XGBoost,0.0,10
target_214,LightGBM,0.05751890658088505,10
target_215,ElasticNet,0.06677534946077562,10
target_215,XGBoost,0.0,10
target_215,LightGBM,0.03506744655138972,10
target_216,ElasticNet,0.15686884246486715,10
target_216,XGBoost,0.13337050297851874,10
target_216,LightGBM,0.056011932830493626,10
